Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1896.000000,1910.000000,1885.000000,1902.800049,1815.441162,1094883
2019-01-02,1905.000000,1934.449951,1900.000000,1923.300049,1835.000000,2100463
2019-01-03,1919.000000,1944.949951,1893.099976,1899.949951,1812.721924,2611668
2019-01-04,1900.000000,1901.199951,1841.000000,1876.849976,1790.682617,4280862
2019-01-07,1891.800049,1908.800049,1881.000000,1897.900024,1810.766113,1856423
2019-01-08,1905.400024,1906.400024,1883.300049,1893.550049,1806.615723,1691756
2019-01-09,1907.400024,1919.000000,1866.699951,1886.949951,1800.318970,2414376
2019-01-10,1890.000000,1905.000000,1872.099976,1888.550049,1801.845703,3053461
2019-01-11,1870.000000,1875.000000,1835.000000,1842.550049,1757.957397,9209862
2019-01-14,1850.000000,1851.000000,1810.000000,1813.250000,1730.002319,3615370
2019-01-15,1810.000000,1869.349976,1808.000000,1867.800049,1782.047974,7711653
2019-01-16,1870.000000,1875.000000,1847.000000,1870.150024,1784.290039,2359280
2019-01-17,1878.000000,1898.000000,1871.300049,1894.300049,1811.205322,2625816
2019-01-18,1881.000000,1904.199951,1876.000000,1900.650024,1817.276855,1683728
2019-01-21,1902.000000,1932.000000,1895.449951,1908.699951,1824.973389,2409803
2019-01-22,1907.099976,1918.250000,1890.000000,1901.900024,1818.471802,2457093
2019-01-23,1901.000000,1906.099976,1870.000000,1875.599976,1793.325439,2578169
2019-01-24,1884.800049,1905.250000,1875.000000,1901.550049,1818.137207,1962927
2019-01-25,1902.000000,1935.000000,1901.000000,1920.800049,1836.542847,2327080
2019-01-28,1933.000000,1962.000000,1925.500000,1955.000000,1869.242798,2769033
2019-01-29,1962.000000,1989.050049,1936.650024,1982.750000,1895.775269,2557626
2019-01-30,1979.599976,1989.500000,1954.650024,1981.400024,1894.484497,2429575
2019-01-31,1987.000000,2019.750000,1985.000000,2014.099976,1925.750000,4094319
2019-02-01,2009.500000,2034.750000,1998.099976,2029.949951,1940.904907,3064163
2019-02-04,2029.949951,2055.449951,2023.000000,2050.250000,1960.314453,1590764
2019-02-05,2050.000000,2055.000000,2028.000000,2044.550049,1954.864502,1111404
2019-02-06,2049.899902,2086.850098,2041.050049,2074.800049,1983.787720,1789812
2019-02-07,2074.750000,2097.949951,2067.000000,2082.899902,1991.531982,1339945
2019-02-08,2075.000000,2089.500000,2051.000000,2061.399902,1970.975098,1684474
